mz,RT,intensity,intensity_cor,species
834.5,19.22,27589,27589,0
955.7,15.38,27170,27170,0
456.9,11.14,27140,27140,0
332.3,9.14,27113,27113,0
451,10.38,26850,26850,0
843.3,15.2,26704,26704,0
1324.8,19.84,26529,26529,0
842.5,13.77,26285,26285,0
858.5,14.35,26068,26068,0
586.3,19.66,26061,26061,0
326.2,13.57,25934,25934,0
465.1,11.64,25279,25279,0
1350.8,20.39,24604,24604,0
744.5,12.62,24430,24430,0
955.3,11.84,24170,24170,0
1203.7,19.65,23008,23008,0
1338.8,20.16,22875,22875,0
933.5,19.4,22751,22751,0
608.3,19.57,22716,22716,0
841.3,7.93,22692,22692,0
409.5,9.13,22427,22427,0
515.2,12.45,22252,22252,0
1303.8,19.91,21686,21686,0
1137.7,19.55,21658,21658,0
1351.8,20.4,21470,21470,0
889.3,15.13,21111,21111,0
587.3,19.57,20989,20989,0
513.4,12.47,20773,20773,0
731.5,11.98,20720,20720,0
723.9,22.62,20561,20561,0
1117.8,7.46,20363,20363,0
651.3,19.9,20242,20242,0
544.3,5.77,20069,20069,0
914.6,11,20058,20058,0
670.8,8.49,19442,19442,0
1298.8,19.63,19315,19315,0
1375.8,20.39,19205,19205,0
943.5,14.29,19171,19171,0
827,3.54,19096,19096,0
831.3,14.52,19086,19086,0
1306.9,4.13,18940,18940,0
1299.8,19.66,18732,18732,0
829.5,13.15,18680,18680,0
1317.7,20.14,18678,18678,0
439.3,11.95,18628,18628,0
1330.7,20.53,18611,18611,0
229.4,4.38,18375,18375,0
1373.8,20.59,18300,18300,0
1462.2,12.05,18098,18098,0
564.2,13.25,18029,18029,0
507.5,12.08,17935,17935,0
949.8,5.1,17794,17794,0
611.5,19.76,17722,17722,0
613.8,4.13,17680,17680,0
1171.8,19.57,17556,17556,0
831.3,14.93,17545,17545,0
854.5,14.56,17521,17521,0
409.2,9.17,17517,17517,0
508.1,11.73,17335,17335,0
844.3,15.19,17278,17278,0
844.3,15.19,17278,17278,0
590.3,7.04,17193,17193,0
730.5,12.28,17105,17105,0
1125.8,19.47,16891,16891,0
712.3,6.49,16861,16861,0
866.3,15.38,16776,16776,0
1138.7,19.54,16736,16736,0
251.1,11.97,16533,16533,0
1138.8,19.59,16533,16533,0
881.8,6.18,16517,16517,0
553.4,13.59,16494,16494,0
844.5,14.85,16475,16475,0
464.9,11.71,16387,16387,0
1125.6,13.65,16365,16365,0
1331.9,5.32,16181,16181,0
1055.7,16.03,15998,15998,0
665.5,15.2,15866,15866,0
620.5,19.38,15849,15849,0
401.5,9.83,15791,15791,0
726.8,5.03,15741,15741,0
1297.4,12.9,15684,15684,0
654.7,11.15,15639,15639,0
332.1,9.29,15594,15594,0
835.5,19.22,15558,15558,0
276.5,7.93,15499,15499,0
956.6,19.41,15424,15424,0
237.1,10.07,15423,15423,0
1286.9,19.58,15408,15408,0
1075.8,6.26,15294,15294,0
1339,6.74,15270,15270,0
800.4,16.05,15240,15240,0
466.5,10.59,15229,15229,0
1077.6,8.08,15188,15188,0
726,29.27,14855,14855,0
408.4,19.23,14787,14787,0
841.4,7.94,14740,14740,0
943.7,14.24,14587,14587,0
1460.6,6.78,14551,14551,0
723.6,22.67,14500,14500,0
801.5,9.56,14498,14498,0
566.5,19.75,14480,14480,0
1261.1,6.71,14446,14446,0
287.1,9.25,14427,14427,0
341.8,8.07,14424,14424,0
1172.7,19.56,14415,14415,0
1003,10.73,14339,14339,0
745.5,12.65,14329,14329,0
889.5,15.56,14282,14282,0
1209.1,15.91,14248,14248,0
709.3,6.19,14214,14214,0
1010.1,3.81,14097,14097,0
550,10.82,13971,13971,0
855.5,13.29,13957,13957,0
1244.9,13.32,13932,13932,0
689,5.93,13894,13894,0
687.8,21.93,13884,13884,0
544.3,5.55,13842,13842,0
869.6,13.93,13842,13842,0
957.7,15.12,13756,13756,0
574.3,19.62,13744,13744,0
401.3,9.84,13664,13664,0
567.3,29.64,13610,13610,0
854.5,14.92,13559,13559,0
1264.3,30,13506,13506,0
307,6.4,13482,13482,0
942.6,14.68,13476,13476,0
575.5,19.49,13465,13465,0
713.5,13.68,13445,13445,0
